Date;Price
Jan-07;54.51
Feb-07;59.28
Mar-07;60.44
Apr-07;63.98
May-07;63.46
Jun-07;67.49
Jul-07;74.12
Aug-07;72.36
Sep-07;79.92
Oct-07;85.8
Nov-07;94.77
Dec-07;91.69
Jan-08;92.97
Feb-08;95.39
Mar-08;105.45
Apr-08;112.58
May-08;125.4
Jun-08;133.88
Jul-08;133.37
Aug-08;116.67
Sep-08;104.11
Oct-08;76.61
Nov-08;57.31
Dec-08;41.12
Jan-09;41.71
Feb-09;39.09
Mar-09;47.94
Apr-09;49.65
May-09;59.03
Jun-09;69.64
Jul-09;64.15
Aug-09;71.05
Sep-09;69.41
Oct-09;75.72
Nov-09;77.99
Dec-09;74.47
Jan-10;78.33
Feb-10;76.39
Mar-10;81.2
Apr-10;84.29
May-10;73.74
Jun-10;75.34
Jul-10;76.32
Aug-10;76.6
Sep-10;75.24
Oct-10;81.89
Nov-10;84.25
Dec-10;89.15
Jan-11;89.17
Feb-11;88.58
Mar-11;102.86
Apr-11;109.53
May-11;100.9
Jun-11;96.26
Jul-11;97.3
Aug-11;86.33
Sep-11;85.52
Oct-11;86.32
Nov-11;97.16
Dec-11;98.56
Jan-12;100.27
Feb-12;102.2
Mar-12;106.16
Apr-12;103.32
May-12;94.66
Jun-12;82.3
Jul-12;87.9
Aug-12;94.13
Sep-12;94.51
Oct-12;89.49
Nov-12;86.53
Dec-12;87.86
Jan-13;94.76
Feb-13;95.31
Mar-13;92.94
Apr-13;92.02
May-13;94.51
Jun-13;95.77
Jul-13;104.67
Aug-13;106.57
Sep-13;106.29
Oct-13;100.54
Nov-13;93.86
Dec-13;97.63
Jan-14;94.62
Feb-14;100.82
Mar-14;100.8
Apr-14;102.07
May-14;102.18
Jun-14;105.79
Jul-14;103.59
Aug-14;96.54
Sep-14;93.21
Oct-14;84.4
Nov-14;75.79
Dec-14;59.29
Jan-15;47.22
Feb-15;50.58
Mar-15;47.82
Apr-15;54.45
May-15;59.27
Jun-15;59.82
Jul-15;50.9
Aug-15;42.87
Sep-15;45.48
Oct-15;46.22
Nov-15;42.44
Dec-15;37.19
Jan-16;31.68
Feb-16;30.32
Mar-16;37.55
Apr-16;40.75
May-16;46.71
Jun-16;48.76
Jul-16;44.65
Aug-16;44.72
Sep-16;45.18
Oct-16;49.78
Nov-16;45.66
Dec-16;51.97
Jan-17;52.5
Feb-17;53.47
Mar-17;49.33
Apr-17;51.06
May-17;48.48
Jun-17;45.18
Jul-17;46.63
Aug-17;48.04
